Incident,date,location,location,lat,lon,descrp
PSU201602588, 07/13/2016  08:30:00,HUB ROBESON CULTURAL CENTER BLDG,HUB ROBESON CULTURAL CENTER BLDG University Park; PA; USA,,,ACCIDENTAL DAMAGE TO PROPERTY OF ANOTHER
PSU201602589, 07/12/2016  08:45:00,EISENHOWER PARKING DECK,EISENHOWER PARKING DECK University Park; PA; USA,40.8022805,-77.8608922,VEHICLE CRASH - POLICE; HIT AND RUN
PSU201602590, 07/13/2016  10:10:32,EISENHOWER PARKING DECK,EISENHOWER PARKING DECK University Park; PA; USA,40.8022805,-77.8608922,OUTSIDE AGENCY ASSIST; OTHER ROUTINE
PSU201602591, 07/11/2016  00:00:01,WARING CMNS,WARING CMNS University Park; PA; USA,40.7957577,-77.8673964,ASSAULT
PSU201602592, 07/13/2016  10:29:57,EISENHOWER PARKING DECK,EISENHOWER PARKING DECK University Park; PA; USA,40.8022805,-77.8608922,OUTSIDE AGENCY ASSIST; OTHER ROUTINE
PSU201602593, 07/13/2016  10:49:52,203 STUDENT HEALTH CENTER BLDG,203 STUDENT HEALTH CENTER BLDG University Park; PA; USA,40.8028282,-77.8600005,HEALTH AND SAFETY; EMS ASSIST
PSU201602594, 07/13/2016  11:10:32,UNIVERSITY PARK AIRPORT BLDG,UNIVERSITY PARK AIRPORT BLDG University Park; PA; USA,40.8499873,-77.8486889,REQUEST FOR ASSISTANCE; OTHER
PSU201602595, 07/13/2016  13:06:00,SPARKS BLDG,SPARKS BLDG University Park; PA; USA,40.796973,-77.8657715,HEALTH AND SAFETY; EMS ASSIST
PSU201602596, 07/13/2016  13:16:12,200 POLLOCK RD,200 POLLOCK RD University Park; PA; USA,40.7999574,-77.8602821,COMMUNITY RELATIONS
PSU201602597, 07/13/2016  13:37:24,S CORL ST,S CORL ST University Park; PA; USA,40.781859,-77.872379,SUSPICOUS ACTIVITY; PERSON(S) - EARLIER
